service_id,alias
svc_cut_senior_stylist,gunting rambut
svc_cut_senior_stylist,haircut
svc_cut_senior_stylist,haircut (senior stylist)
svc_cut_senior_stylist,potong
svc_cut_senior_stylist,potong rambut
svc_cut_senior_stylist,senior stylist
svc_cut_senior_stylist,trim
svc_cut_director,director
svc_cut_director,gunting rambut
svc_cut_director,haircut
svc_cut_director,haircut (director)
svc_cut_director,potong
svc_cut_director,potong rambut
svc_cut_director,trim
svc_cut_senior_director,gunting rambut
svc_cut_senior_director,haircut
svc_cut_senior_director,haircut (senior director)
svc_cut_senior_director,potong
svc_cut_senior_director,potong rambut
svc_cut_senior_director,senior director
svc_cut_senior_director,trim
svc_cut_exec_director,executive director
svc_cut_exec_director,gunting rambut
svc_cut_exec_director,haircut
svc_cut_exec_director,haircut (executive director)
svc_cut_exec_director,potong
svc_cut_exec_director,potong rambut
svc_cut_exec_director,trim
svc_cut_creative_director,creative director
svc_cut_creative_director,gunting rambut
svc_cut_creative_director,haircut
svc_cut_creative_director,haircut (creative director)
svc_cut_creative_director,potong
svc_cut_creative_director,potong rambut
svc_cut_creative_director,trim
svc_cut_children_13_19,children 13â€“19
svc_cut_children_13_19,gunting rambut
svc_cut_children_13_19,haircut
svc_cut_children_13_19,haircut (children 13â€“19)
svc_cut_children_13_19,potong
svc_cut_children_13_19,potong rambut
svc_cut_children_13_19,trim
svc_cut_children_0_12,children 0â€“12
svc_cut_children_0_12,gunting rambut
svc_cut_children_0_12,haircut
svc_cut_children_0_12,haircut (children 0â€“12)
svc_cut_children_0_12,potong
svc_cut_children_0_12,potong rambut
svc_cut_children_0_12,trim
svc_fringe_cut,bangs
svc_fringe_cut,fringe
svc_fringe_cut,fringe cut
svc_fringe_cut,poni
svc_fringe_cut,trim fringe
svc_wash_blow_short,S
svc_wash_blow_short,basuh & blow
svc_wash_blow_short,blow
svc_wash_blow_short,cuci & blow
svc_wash_blow_short,cuci rambut
svc_wash_blow_short,pendek
svc_wash_blow_short,short
svc_wash_blow_short,shortâ€”up to collarbone
svc_wash_blow_short,w/b
svc_wash_blow_short,wash
svc_wash_blow_short,wash & blow
svc_wash_blow_short,wash & blow (shortâ€”up to collarbone)
svc_wash_blow_short,wash n blow
svc_wash_blow_short,wb
svc_wash_blow_long,L
svc_wash_blow_long,basuh & blow
svc_wash_blow_long,below
svc_wash_blow_long,blow
svc_wash_blow_long,cuci & blow
svc_wash_blow_long,cuci rambut
svc_wash_blow_long,long
svc_wash_blow_long,longâ€”collarbone
svc_wash_blow_long,panjang
svc_wash_blow_long,w/b
svc_wash_blow_long,wash
svc_wash_blow_long,wash & blow
svc_wash_blow_long,wash & blow (longâ€”collarbone & below)
svc_wash_blow_long,wash n blow
svc_wash_blow_long,wb
add_straight_iron_curl,add
add_straight_iron_curl,on
add_straight_iron_curl,straight iron + curl iron
add_straight_iron_curl,straight iron + curl iron (add-on)
add_silky_straight,add
add_silky_straight,on
add_silky_straight,silky straight hairstyle
add_silky_straight,silky straight hairstyle (add-on)
add_ext_blow_straight,add
add_ext_blow_straight,blow straight
add_ext_blow_straight,extensions hair
add_ext_blow_straight,extensions hair & blow straight (add-on)
add_ext_blow_straight,on
add_ext_curl_iron,add
add_ext_curl_iron,curl iron
add_ext_curl_iron,extensions hair
add_ext_curl_iron,extensions hair & curl iron (add-on)
add_ext_curl_iron,on
add_blowout_curls,add
add_blowout_curls,blowout with curls
add_blowout_curls,blowout with curls (add-on)
add_blowout_curls,on
add_extra_long_waist,EL
add_extra_long_waist,L
add_extra_long_waist,add
add_extra_long_waist,ekstra panjang
add_extra_long_waist,extra long
add_extra_long_waist,extra long hair
add_extra_long_waist,extra long hair (waist level) (add-on)
add_extra_long_waist,long
add_extra_long_waist,on
add_extra_long_waist,panjang
add_extra_long_waist,sangat panjang
add_extra_long_waist,waist level
svc_hairstyling_setup,hairstyling
svc_hairstyling_setup,hairstyling & setup
svc_hairstyling_setup,setup
svc_touchup_s,S
svc_touchup_s,akar
svc_touchup_s,pendek
svc_touchup_s,sentuh akar
svc_touchup_s,short
svc_touchup_s,touch up
svc_touchup_s,touch up (short)
svc_touchup_s,touch up akar
svc_touchup_m,M
svc_touchup_m,akar
svc_touchup_m,medium
svc_touchup_m,sederhana
svc_touchup_m,sentuh akar
svc_touchup_m,touch up
svc_touchup_m,touch up (medium)
svc_touchup_m,touch up akar
svc_touchup_l,L
svc_touchup_l,akar
svc_touchup_l,long
svc_touchup_l,panjang
svc_touchup_l,sentuh akar
svc_touchup_l,touch up
svc_touchup_l,touch up (long)
svc_touchup_l,touch up akar
svc_color_short,S
svc_color_short,color
svc_color_short,coloring
svc_color_short,coloring (short)
svc_color_short,colour
svc_color_short,dye
svc_color_short,pendek
svc_color_short,pewarna rambut
svc_color_short,short
svc_color_short,warna
svc_color_medium,M
svc_color_medium,color
svc_color_medium,coloring
svc_color_medium,coloring (medium)
svc_color_medium,colour
svc_color_medium,dye
svc_color_medium,medium
svc_color_medium,pewarna rambut
svc_color_medium,sederhana
svc_color_medium,warna
svc_color_long,L
svc_color_long,color
svc_color_long,coloring
svc_color_long,coloring (long)
svc_color_long,colour
svc_color_long,dye
svc_color_long,long
svc_color_long,panjang
svc_color_long,pewarna rambut
svc_color_long,warna
svc_color_xlong,EL
svc_color_xlong,L
svc_color_xlong,color
svc_color_xlong,coloring
svc_color_xlong,coloring (extra long)
svc_color_xlong,colour
svc_color_xlong,dye
svc_color_xlong,ekstra panjang
svc_color_xlong,extra long
svc_color_xlong,long
svc_color_xlong,panjang
svc_color_xlong,pewarna rambut
svc_color_xlong,sangat panjang
svc_color_xlong,warna
svc_highlights_consult,babylights
svc_highlights_consult,balayage
svc_highlights_consult,"by consultation, from rm188"
svc_highlights_consult,highlight
svc_highlights_consult,highlights
svc_highlights_consult,"highlights (by consultation, from rm188)"
svc_special_color_consult,balayage
svc_special_color_consult,color
svc_special_color_consult,colour
svc_special_color_consult,dip dye
svc_special_color_consult,dye
svc_special_color_consult,ombre
svc_special_color_consult,pewarna rambut
svc_special_color_consult,special color
svc_special_color_consult,special color (ombre/dip dye/balayage)
svc_special_color_consult,warna
add_bleaching_per_length,add
add_bleaching_per_length,bleach
add_bleaching_per_length,bleaching
add_bleaching_per_length,bleaching (add-on per length)
add_bleaching_per_length,on per length
add_bleaching_per_length,peluntur rambut
svc_cold_perm_s,S
svc_cold_perm_s,cold perm
svc_cold_perm_s,cold perm (short)
svc_cold_perm_s,keriting
svc_cold_perm_s,pendek
svc_cold_perm_s,perm
svc_cold_perm_s,short
svc_cold_perm_m,M
svc_cold_perm_m,cold perm
svc_cold_perm_m,cold perm (medium)
svc_cold_perm_m,keriting
svc_cold_perm_m,medium
svc_cold_perm_m,perm
svc_cold_perm_m,sederhana
svc_cold_perm_l,L
svc_cold_perm_l,cold perm
svc_cold_perm_l,cold perm (long)
svc_cold_perm_l,keriting
svc_cold_perm_l,long
svc_cold_perm_l,panjang
svc_cold_perm_l,perm
svc_cold_perm_el,EL
svc_cold_perm_el,L
svc_cold_perm_el,cold perm
svc_cold_perm_el,cold perm (extra long)
svc_cold_perm_el,ekstra panjang
svc_cold_perm_el,extra long
svc_cold_perm_el,keriting
svc_cold_perm_el,long
svc_cold_perm_el,panjang
svc_cold_perm_el,perm
svc_cold_perm_el,sangat panjang
svc_digital_perm,digital perm
svc_digital_perm,keriting
svc_digital_perm,keriting digital
svc_digital_perm,perm
svc_digital_perm,perm digital
svc_root_perm,akar
svc_root_perm,keriting
svc_root_perm,perm
svc_root_perm,root
svc_root_perm,root perm
svc_down_perm_part,down perm â€“ part
svc_down_perm_part,keriting
svc_down_perm_part,perm
svc_down_perm_full,down perm â€“ full
svc_down_perm_full,keriting
svc_down_perm_full,perm
svc_fringe_perm,bangs
svc_fringe_perm,fringe
svc_fringe_perm,fringe perm
svc_fringe_perm,keriting
svc_fringe_perm,perm
svc_fringe_perm,poni
svc_fringe_perm,trim fringe
svc_fringe_perm_wb,bangs
svc_fringe_perm_wb,blow included
svc_fringe_perm_wb,fringe
svc_fringe_perm_wb,fringe perm
svc_fringe_perm_wb,fringe perm (wash/blow included)
svc_fringe_perm_wb,keriting
svc_fringe_perm_wb,perm
svc_fringe_perm_wb,poni
svc_fringe_perm_wb,trim fringe
svc_fringe_perm_wb,w/b
svc_fringe_perm_wb,wash
