policy_id,title,text,category,scope
pol_cancel_24h,24h Cancellation,Please cancel at least 24 hours before your appointment to avoid charges.,cancellation,all
pol_cancel_48h_major,48h Cancellation (Major),"Colouring, rebonding, and keratin bookings require 48 hours’ notice to cancel.",cancellation,"coloring,rebonding,keratin"
pol_cancel_same_day,Same-day Cancellation,Same-day cancellations may incur higher fees due to the lost slot.,cancellation,all
pol_no_show,No-Show,No-shows are charged 100% or deposit forfeited.,no_show,all
pol_reschedule_24h,Reschedule Window,Please reschedule at least 24 hours in advance to avoid fees.,reschedule,all
pol_reschedule_limit,Reschedule Limit,A booking can be rescheduled once; further changes require a new booking.,reschedule,all
pol_late_10,Late Arrival (10 min),10-minute grace period; we’ll do our best to complete the service.,lateness,all
pol_late_15,Late Arrival (15 min),"15-minute grace period; after that, service may be shortened or forfeited.",lateness,all
pol_deposit_rm50,Deposit for Major Services,RM50 deposit may be required to secure selected services or peak times.,deposit,all
pol_deposit_forfeit,Deposit Forfeiture,Deposits are forfeited for no-shows or cancellations within the notice window.,deposit,all
pol_payment_due,Payment Due,Payment is due upon completion of service.,payment,all
pol_installments,Installments,Installment or pay-later options are not available.,payment,all
pol_refund_services,Service Refunds,Services are non-refundable; adjustments within 3 days with the same stylist.,refund,all
pol_refund_products_7d,Product Returns,Unopened products can be returned within 7 days with receipt. Restocking fee may apply.,refund,all
pol_redo_3d,Service Redo,Complimentary adjustment within 3 days for execution issues (not a style change).,redo,all
pol_privacy_data,Privacy,Client data is securely stored and not shared outside the salon.,privacy,all
pol_access_wheelchair,Wheelchair Access,Ground-floor access; a portable ramp is available on request.,accessibility,SS15
pol_lift,Lift Availability,Lift via the building lobby; please ask if you need assistance.,accessibility,SS15
pol_parking,Parking,Limited front parking; nearby paid parking available (~RM2/hour).,facility,SS15
pol_pets,Pet Policy,Only service animals are allowed inside the salon.,facility,all
pol_wifi,Wi?Fi & Beverages,Complimentary Wi?Fi and water/tea are available.,facility,SS15
pol_food_drink,Food & Drink,Please consume outside food and drink in the waiting area only.,facility,SS15
pol_smoking,No Smoking/Vaping,Smoking and vaping are not permitted inside the salon.,facility,all
pol_cancel_haircut_24h,Haircut Cancellation (24h),Please cancel haircut at least 24 hours in advance to avoid charges.,cancellation,haircut
pol_cancel_haircut_same_day,Haircut Same-day Cancellation,Same-day cancellation for haircut may incur a higher fee.,cancellation,haircut
pol_reschedule_haircut_24h,Haircut Reschedule (24h),Please reschedule haircut at least 24 hours before your appointment.,reschedule,haircut
pol_late_haircut_15,Late for haircut (15 min),Arriving more than 15 minutes late for haircut may shorten or forfeit the service.,lateness,haircut
